State FIPS Code,County FIPS Code,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,,,,,,,,,,,,,,,,,,
16,31,ID,Cassia County,"2,803","2,133","3,473",11.3,8.6,14,,,,,,,,,,,,,,,,,,
16,33,ID,Clark County,113,86,140,14.3,10.9,17.7,,,,,,,,,,,,,,,,,,
16,35,ID,Clearwater County,"1,208",947,"1,469",14.8,11.6,18,,,,,,,,,,,,,,,,,,
16,37,ID,Custer County,554,416,692,12.6,9.5,15.7,,,,,,,,,,,,,,,,,,
16,39,ID,Elmore County,"3,166","2,439","3,893",11.3,8.7,13.9,,,,,,,,,,,,,,,,,,
16,41,ID,Franklin County,"1,192",927,"1,457",8.2,6.4,10,,,,,,,,,,,,,,,,,,
16,43,ID,Fremont County,"1,546","1,189","1,903",11.8,9.1,14.5,,,,,,,,,,,,,,,,,,
16,45,ID,Gem County,"2,437","1,929","2,945",12.4,9.8,15,,,,,,,,,,,,,,,,,,
16,47,ID,Gooding County,"1,707","1,265","2,149",10.9,8.1,13.7,,,,,,,,,,,,,,,,,,
16,49,ID,Idaho County,"2,232","1,709","2,755",13.5,10.3,16.7,,,,,,,,,,,,,,,,,,
16,51,ID,Jefferson County,"2,540","1,939","3,141",8,6.1,9.9,,,,,,,,,,,,,,,,,,
16,53,ID,Jerome County,"3,088","2,479","3,697",12.6,10.1,15.1,,,,,,,,,,,,,,,,,,
16,55,ID,Kootenai County,"16,927","14,157","19,697",9.5,7.9,11.1,,,,,,,,,,,,,,,,,,
16,57,ID,Latah County,"5,113","4,310","5,916",13.6,11.5,15.7,,,,,,,,,,,,,,,,,,
16,59,ID,Lemhi County,974,709,"1,239",12,8.7,15.3,,,,,,,,,,,,,,,,,,
16,61,ID,Lewis County,486,374,598,13.2,10.2,16.2,,,,,,,,,,,,,,,,,,
16,63,ID,Lincoln County,593,458,728,11.3,8.7,13.9,,,,,,,,,,,,,,,,,,
16,65,ID,Madison County,"9,330","7,599","11,061",17.6,14.3,20.9,,,,,,,,,,,,,,,,,,
16,67,ID,Minidoka County,"3,025","2,484","3,566",13.9,11.4,16.4,,,,,,,,,,,,,,,,,,
16,69,ID,Nez Perce County,"6,377","5,513","7,241",15.4,13.3,17.5,,,,,,,,,,,,,,,,,,
16,71,ID,Oneida County,493,378,608,10.8,8.3,13.3,,,,,,,,,,,,,,,,,,
16,73,ID,Owyhee County,"1,731","1,342","2,120",14.2,11,17.4,,,,,,,,,,,,,,,,,,
16,75,ID,Payette County,"3,126","2,418","3,834",12,9.3,14.7,,,,,,,,,,,,,,,,,,
16,77,ID,Power County,"1,001",756,"1,246",12.7,9.6,15.8,,,,,,,,,,,,,,,,,,
16,79,ID,Shoshone County,"2,404","1,938","2,870",17.9,14.4,21.4,,,,,,,,,,,,,,,,,,
16,81,ID,Teton County,907,694,"1,120",7.4,5.7,9.1,,,,,,,,,,,,,,,,,,
16,83,ID,Twin Falls County,"12,185","10,251","14,119",13.4,11.3,15.5,,,,,,,,,,,,,,,,,,
16,85,ID,Valley County,"1,015",793,"1,237",8.3,6.5,10.1,,,,,,,,,,,,,,,,,,
16,87,ID,Washington County,"1,476","1,144","1,808",13.7,10.6,16.8,,,,,,,,,,,,,,,,,,
17,0,IL,Illinois,"1,493,042","1,465,135","1,520,949",12.1,11.9,12.3,,,,,,,,,,,,,,,,,,
17,1,IL,Adams County,"7,424","5,941","8,907",11.8,9.4,14.2,,,,,,,,,,,,,,,,,,
17,3,IL,Alexander County,"1,084",793,"1,375",21.8,16,27.6,,,,,,,,,,,,,,,,,,
17,5,IL,Bond County,"2,024","1,578","2,470",13.5,10.5,16.5,,,,,,,,,,,,,,,,,,
17,7,IL,Boone County,"5,341","4,359","6,323",10.1,8.2,12,,,,,,,,,,,,,,,,,,
17,9,IL,Brown County,758,573,943,16.6,12.6,20.6,,,,,,,,,,,,,,,,,,
17,11,IL,Bureau County,"3,929","3,294","4,564",12.1,10.1,14.1,,,,,,,,,,,,,,,,,,
17,13,IL,Calhoun County,434,328,540,10.1,7.6,12.6,,,,,,,,,,,,,,,,,,
17,15,IL,Carroll County,"2,093","1,713","2,473",13.5,11,16,,,,,,,,,,,,,,,,,,
17,17,IL,Cass County,"1,429","1,083","1,775",11.4,8.6,14.2,,,,,,,,,,,,,,,,,,
17,19,IL,Champaign County,"28,582","25,048","32,116",15,13.1,16.9,,,,,,,,,,,,,,,,,,
17,21,IL,Christian County,"3,823","2,979","4,667",12,9.4,14.6,,,,,,,,,,,,,,,,,,
17,23,IL,Clark County,"1,533","1,146","1,920",10.2,7.6,12.8,,,,,,,,,,,,,,,,,,
17,25,IL,Clay County,"1,827","1,451","2,203",14.1,11.2,17,,,,,,,,,,,,,,,,,,
17,27,IL,Clinton County,"3,152","2,549","3,755",9.1,7.4,10.8,,,,,,,,,,,,,,,,,,
17,29,IL,Coles County,"7,668","6,270","9,066",17.4,14.2,20.6,,,,,,,,,,,,,,,,,,
17,31,IL,Cook County,"703,874","679,320","728,428",13.8,13.3,14.3,,,,,,,,,,,,,,,,,,
17,33,IL,Crawford County,"2,334","1,810","2,858",13.6,10.6,16.6,,,,,,,,,,,,,,,,,,
17,35,IL,Cumberland County,"1,060",825,"1,295",10.4,8.1,12.7,,,,,,,,,,,,,,,,,,
17,37,IL,DeKalb County,"13,529","11,659","15,399",14.2,12.2,16.2,,,,,,,,,,,,,,,,,,
17,39,IL,De Witt County,"1,612","1,268","1,956",10.7,8.4,13,,,,,,,,,,,,,,,,,,
17,41,IL,Douglas County,"1,783","1,402","2,164",9.1,7.2,11,,,,,,,,,,,,,,,,,,
17,43,IL,DuPage County,"62,952","56,328","69,576",6.9,6.2,7.6,,,,,,,,,,,,,,,,,,
17,45,IL,Edgar County,"2,115","1,617","2,613",13,9.9,16.1,,,,,,,,,,,,,,,,,,
17,47,IL,Edwards County,722,567,877,12,9.4,14.6,,,,,,,,,,,,,,,,,,
17,49,IL,Effingham County,"3,158","2,487","3,829",9.3,7.3,11.3,,,,,,,,,,,,,,,,,,
17,51,IL,Fayette County,"3,011","2,415","3,607",15.3,12.3,18.3,,,,,,,,,,,,,,,,,,
17,53,IL,Ford County,"1,469","1,178","1,760",11.2,9,13.4,,,,,,,,,,,,,,,,,,
17,55,IL,Franklin County,"6,089","4,897","7,281",16.5,13.3,19.7,,,,,,,,,,,,,,,,,,
17,57,IL,Fulton County,"4,629","3,825","5,433",15.2,12.6,17.8,,,,,,,,,,,,,,,,,,
17,59,IL,Gallatin County,846,639,"1,053",17.4,13.2,21.6,,,,,,,,,,,,,,,,,,
17,61,IL,Greene County,"1,632","1,283","1,981",14.1,11.1,17.1,,,,,,,,,,,,,,,,,,
17,63,IL,Grundy County,"3,496","2,766","4,226",6.6,5.2,8,,,,,,,,,,,,,,,,,,
17,65,IL,Hamilton County,"1,032",796,"1,268",13.2,10.2,16.2,,,,,,,,,,,,,,,,,,
17,67,IL,Hancock County,"2,053","1,646","2,460",11.9,9.5,14.3,,,,,,,,,,,,,,,,,,
17,69,IL,Hardin County,680,508,852,18.7,14,23.4,,,,,,,,,,,,,,,,,,
17,71,IL,Henderson County,770,591,949,12.3,9.4,15.2,,,,,,,,,,,,,,,,,,
17,73,IL,Henry County,"4,560","3,622","5,498",9.5,7.5,11.5,,,,,,,,,,,,,,,,,,
17,75,IL,Iroquois County,"2,801","2,206","3,396",10.6,8.3,12.9,,,,,,,,,,,,,,,,,,
17,77,IL,Jackson County,"11,033","9,171","12,895",22.3,18.5,26.1,,,,,,,,,,,,,,,,,,
17,79,IL,Jasper County,905,680,"1,130",9.9,7.4,12.4,,,,,,,,,,,,,,,,,,
17,81,IL,Jefferson County,"5,309","4,418","6,200",15.3,12.7,17.9,,,,,,,,,,,,,,,,,,
17,83,IL,Jersey County,"1,914","1,448","2,380",9.3,7,11.6,,,,,,,,,,,,,,,,,,
17,85,IL,Jo Daviess County,"1,877","1,456","2,298",8.6,6.7,10.5,,,,,,,,,,,,,,,,,,
17,87,IL,Johnson County,"1,610","1,220","2,000",13.3,10.1,16.5,,,,,,,,,,,,,,,,,,
17,89,IL,Kane County,"43,982","37,514","50,450",8.6,7.3,9.9,,,,,,,,,,,,,,,,,,
17,91,IL,Kankakee County,"13,545","11,453","15,637",13.4,11.3,15.5,,,,,,,,,,,,,,,,,,
17,93,IL,Kendall County,"6,634","5,310","7,958",4.9,3.9,5.9,,,,,,,,,,,,,,,,,,
17,95,IL,Knox County,"6,653","5,453","7,853",14.7,12.1,17.3,,,,,,,,,,,,,,,,,,
17,97,IL,Lake County,"58,626","51,789","65,463",8.5,7.5,9.5,,,,,,,,,,,,,,,,,,
17,99,IL,La Salle County,"13,900","12,043","15,757",13.2,11.4,15,,,,,,,,,,,,,,,,,,
17,101,IL,Lawrence County,"2,459","1,951","2,967",19.2,15.2,23.2,,,,,,,,,,,,,,,,,,
17,103,IL,Lee County,"4,083","3,326","4,840",13.2,10.8,15.6,,,,,,,,,,,,,,,,,,
17,105,IL,Livingston County,"3,909","3,118","4,700",11.7,9.3,14.1,,,,,,,,,,,,,,,,,,
17,107,IL,Logan County,"3,238","2,564","3,912",13.5,10.7,16.3,,,,,,,,,,,,,,,,,,
17,109,IL,McDonough County,"4,256","3,424","5,088",17.9,14.4,21.4,,,,,,,,,,,,,,,,,,
17,111,IL,McHenry County,"18,456","15,169","21,743",6,4.9,7.1,,,,,,,,,,,,,,,,,,
17,113,IL,McLean County,"21,514","19,294","23,734",13.4,12,14.8,,,,,,,,,,,,,,,,,,
17,115,IL,Macon County,"16,893","14,488","19,298",17.1,14.7,19.5,,,,,,,,,,,,,,,,,,
17,117,IL,Macoupin County,"6,702","5,706","7,698",15.4,13.1,17.7,,,,,,,,,,,,,,,,,,
17,119,IL,Madison County,"29,596","25,351","33,841",11.4,9.8,13,,,,,,,,,,,,,,,,,,
17,121,IL,Marion County,"5,653","4,656","6,650",15.5,12.8,18.2,,,,,,,,,,,,,,,,,,
17,123,IL,Marshall County,"1,124",888,"1,360",9.9,7.8,12,,,,,,,,,,,,,,,,,,
17,125,IL,Mason County,"1,579","1,191","1,967",12.4,9.3,15.5,,,,,,,,,,,,,,,,,,
17,127,IL,Massac County,"2,259","1,742","2,776",16.5,12.7,20.3,,,,,,,,,,,,,,,,,,
17,129,IL,Menard County,"1,012",764,"1,260",8.4,6.3,10.5,,,,,,,,,,,,,,,,,,
17,131,IL,Mercer County,"1,694","1,384","2,004",11,9,13,,,,,,,,,,,,,,,,,,
17,133,IL,Monroe County,"1,548","1,174","1,922",4.5,3.4,5.6,,,,,,,,,,,,,,,,,,
17,135,IL,Montgomery County,"3,376","2,583","4,169",13.2,10.1,16.3,,,,,,,,,,,,,,,,,,
17,137,IL,Morgan County,"4,168","3,373","4,963",14.1,11.4,16.8,,,,,,,,,,,,,,,,,,
17,139,IL,Moultrie County,"1,359","1,069","1,649",9.6,7.6,11.6,,,,,,,,,,,,,,,,,,
17,141,IL,Ogle County,"4,291","3,305","5,277",8.4,6.5,10.3,,,,,,,,,,,,,,,,,,
17,143,IL,Peoria County,"28,357","24,152","32,562",16.3,13.9,18.7,,,,,,,,,,,,,,,,,,
17,145,IL,Perry County,"3,069","2,391","3,747",16.6,12.9,20.3,,,,,,,,,,,,,,,,,,
17,147,IL,Piatt County,"1,090",834,"1,346",6.5,5,8,,,,,,,,,,,,,,,,,,
17,149,IL,Pike County,"1,941","1,518","2,364",13.7,10.7,16.7,,,,,,,,,,,,,,,,,,
17,151,IL,Pope County,635,485,785,17.1,13.1,21.1,,,,,,,,,,,,,,,,,,
17,153,IL,Pulaski County,"1,128",864,"1,392",22.3,17.1,27.5,,,,,,,,,,,,,,,,,,
17,155,IL,Putnam County,418,319,517,7.5,5.7,9.3,,,,,,,,,,,,,,,,,,
17,157,IL,Randolph County,"3,909","3,154","4,664",15,12.1,17.9,,,,,,,,,,,,,,,,,,
17,159,IL,Richland County,"2,188","1,736","2,640",14.2,11.3,17.1,,,,,,,,,,,,,,,,,,
17,161,IL,Rock Island County,"22,803","20,201","25,405",16.5,14.6,18.4,,,,,,,,,,,,,,,,,,
17,163,IL,St. Clair County,"33,300","27,836","38,764",13.3,11.1,15.5,,,,,,,,,,,,,,,,,,
17,165,IL,Saline County,"3,976","3,184","4,768",17.6,14.1,21.1,,,,,,,,,,,,,,,,,,
17,167,IL,Sangamon County,"27,610","25,031","30,189",14.4,13.1,15.7,,,,,,,,,,,,,,,,,,
17,169,IL,Schuyler County,829,635,"1,023",12.3,9.4,15.2,,,,,,,,,,,,,,,,,,
17,171,IL,Scott County,552,428,676,11.5,8.9,14.1,,,,,,,,,,,,,,,,,,
17,173,IL,Shelby County,"2,129","1,656","2,602",10.3,8,12.6,,,,,,,,,,,,,,,,,,
17,175,IL,Stark County,592,458,726,11.4,8.8,14,,,,,,,,,,,,,,,,,,
17,177,IL,Stephenson County,"5,216","4,126","6,306",12.1,9.6,14.6,,,,,,,,,,,,,,,,,,
17,179,IL,Tazewell County,"11,918","9,898","13,938",9.3,7.7,10.9,,,,,,,,,,,,,,,,,,
17,181,IL,Union County,"2,844","2,301","3,387",17,13.8,20.2,,,,,,,,,,,,,,,,,,
17,183,IL,Vermilion County,"13,859","12,143","15,575",19.7,17.3,22.1,,,,,,,,,,,,,,,,,,
17,185,IL,Wabash County,"1,609","1,282","1,936",14.5,11.6,17.4,,,,,,,,,,,,,,,,,,
17,187,IL,Warren County,"2,067","1,639","2,495",13.3,10.5,16.1,,,,,,,,,,,,,,,,,,
17,189,IL,Washington County,"1,141",884,"1,398",8.5,6.6,10.4,,,,,,,,,,,,,,,,,,
17,191,IL,Wayne County,"2,263","1,820","2,706",14.3,11.5,17.1,,,,,,,,,,,,,,,,,,
17,193,IL,White County,"2,111","1,691","2,531",15.7,12.6,18.8,,,,,,,,,,,,,,,,,,
17,195,IL,Whiteside County,"7,181","6,028","8,334",13.2,11.1,15.3,,,,,,,,,,,,,,,,,,
17,197,IL,Will County,"54,149","47,219","61,079",7.9,6.9,8.9,,,,,,,,,,,,,,,,,,
17,199,IL,Williamson County,"9,551","7,826","11,276",14.7,12,17.4,,,,,,,,,,,,,,,,,,
17,201,IL,Winnebago County,"39,659","35,073","44,245",14.2,12.6,15.8,,,,,,,,,,,,,,,,,,
17,203,IL,Woodford County,"2,484","1,988","2,980",6.7,5.4,8,,,,,,,,,,,,,,,,,,
18,0,IN,Indiana,"799,733","782,428","817,038",12.1,11.8,12.4,,,,,,,,,,,,,,,,,,
18,1,IN,Adams County,"4,478","3,640","5,316",12.6,10.2,15,,,,,,,,,,,,,,,,,,
18,3,IN,Allen County,"50,086","45,346","54,826",13.1,11.9,14.3,,,,,,,,,,,,,,,,,,
18,5,IN,Bartholomew County,"6,624","5,241","8,007",8.1,6.4,9.8,,,,,,,,,,,,,,,,,,
18,7,IN,Benton County,901,715,"1,087",10.5,8.3,12.7,,,,,,,,,,,,,,,,,,
18,9,IN,Blackford County,"1,526","1,176","1,876",12.9,10,15.8,,,,,,,,,,,,,,,,,,
18,11,IN,Boone County,"3,980","3,134","4,826",5.5,4.3,6.7,,,,,,,,,,,,,,,,,,
18,13,IN,Brown County,"1,670","1,325","2,015",10.8,8.6,13,,,,,,,,,,,,,,,,,,
18,15,IN,Carroll County,"1,730","1,349","2,111",8.5,6.6,10.4,,,,,,,,,,,,,,,,,,
18,17,IN,Cass County,"4,459","3,620","5,298",12.1,9.8,14.4,,,,,,,,,,,,,,,,,,
18,19,IN,Clark County,"12,668","10,556","14,780",10.4,8.7,12.1,,,,,,,,,,,,,,,,,,
18,21,IN,Clay County,"2,894","2,249","3,539",11.1,8.6,13.6,,,,,,,,,,,,,,,,,,
18,23,IN,Clinton County,"3,352","2,639","4,065",10.4,8.2,12.6,,,,,,,,,,,,,,,,,,
18,25,IN,Crawford County,"1,605","1,246","1,964",15.4,12,18.8,,,,,,,,,,,,,,,,,,
18,27,IN,Daviess County,"4,151","3,381","4,921",12.7,10.4,15,,,,,,,,,,,,,,,,,,
18,29,IN,Dearborn County,"3,819","2,945","4,693",7.6,5.9,9.3,,,,,,,,,,,,,,,,,,
18,31,IN,Decatur County,"2,576","1,976","3,176",9.9,7.6,12.2,,,,,,,,,,,,,,,,,,
18,33,IN,De Kalb County,"3,411","2,645","4,177",8,6.2,9.8,,,,,,,,,,,,,,,,,,
18,35,IN,Delaware County,"19,056","16,644","21,468",18.4,16.1,20.7,,,,,,,,,,,,,,,,,,
18,37,IN,Dubois County,"3,187","2,547","3,827",7.5,6,9,,,,,,,,,,,,,,,,,,
18,39,IN,Elkhart County,"22,950","19,730","26,170",11.3,9.7,12.9,,,,,,,,,,,,,,,,,,
18,41,IN,Fayette County,"3,116","2,434","3,798",13.6,10.6,16.6,,,,,,,,,,,,,,,,,,
18,43,IN,Floyd County,"7,237","5,798","8,676",9.2,7.4,11,,,,,,,,,,,,,,,,,,
18,45,IN,Fountain County,"1,726","1,346","2,106",10.6,8.3,12.9,,,,,,,,,,,,,,,,,,
18,47,IN,Franklin County,"1,950","1,510","2,390",8.6,6.7,10.5,,,,,,,,,,,,,,,,,,
18,49,IN,Fulton County,"2,224","1,763","2,685",11.1,8.8,13.4,,,,,,,,,,,,,,,,,,
18,51,IN,Gibson County,"3,675","2,988","4,362",11.4,9.3,13.5,,,,,,,,,,,,,,,,,,
18,53,IN,Grant County,"11,528","9,852","13,204",18.8,16.1,21.5,,,,,,,,,,,,,,,,,,
18,55,IN,Greene County,"4,349","3,614","5,084",14.3,11.9,16.7,,,,,,,,,,,,,,,,,,
18,57,IN,Hamilton County,"13,447","10,890","16,004",3.8,3.1,4.5,,,,,,,,,,,,,,,,,,
18,59,IN,Hancock County,"4,459","3,513","5,405",5.5,4.3,6.7,,,,,,,,,,,,,,,,,,
18,61,IN,Harrison County,"3,320","2,592","4,048",8.5,6.6,10.4,,,,,,,,,,,,,,,,,,
18,63,IN,Hendricks County,"9,294","7,449","11,139",5.3,4.2,6.4,,,,,,,,,,,,,,,,,,
18,65,IN,Henry County,"6,831","5,708","7,954",15.1,12.6,17.6,,,,,,,,,,,,,,,,,,
18,67,IN,Howard County,"9,771","7,877","11,665",11.9,9.6,14.2,,,,,,,,,,,,,,,,,,
18,69,IN,Huntington County,"3,758","3,121","4,395",10.6,8.8,12.4,,,,,,,,,,,,,,,,,,
18,71,IN,Jackson County,"6,443","5,708","7,178",14.2,12.6,15.8,,,,,,,,,,,,,,,,,,
18,73,IN,Jasper County,"2,807","2,183","3,431",8.7,6.8,10.6,,,,,,,,,,,,,,,,,,
18,75,IN,Jay County,"2,723","2,196","3,250",13.6,11,16.2,,,,,,,,,,,,,,,,,,
18,77,IN,Jefferson County,"3,593","2,808","4,378",11.6,9.1,14.1,,,,,,,,,,,,,,,,,,
18,79,IN,Jennings County,"3,421","2,802","4,040",12.7,10.4,15,,,,,,,,,,,,,,,,,,
18,81,IN,Johnson County,"12,092","9,714","14,470",7.5,6,9,,,,,,,,,,,,,,,,,,
18,83,IN,Knox County,"5,092","4,083","6,101",15,12,18,,,,,,,,,,,,,,,,,,
18,85,IN,Kosciusko County,"7,328","5,873","8,783",9.4,7.5,11.3,,,,,,,,,,,,,,,,,,
18,87,IN,Lagrange County,"2,998","2,267","3,729",7.5,5.7,9.3,,,,,,,,,,,,,,,,,,
18,89,IN,Lake County,"68,461","61,430","75,492",13.9,12.5,15.3,,,,,,,,,,,,,,,,,,
18,91,IN,La Porte County,"12,934","10,492","15,376",12.2,9.9,14.5,,,,,,,,,,,,,,,,,,
18,93,IN,Lawrence County,"5,608","4,491","6,725",12.6,10.1,15.1,,,,,,,,,,,,,,,,,,
18,95,IN,Madison County,"19,464","16,709","22,219",15.7,13.5,17.9,,,,,,,,,,,,,,,,,,
18,97,IN,Marion County,"143,143","131,811","154,475",15.1,13.9,16.3,,,,,,,,,,,,,,,,,,
18,99,IN,Marshall County,"3,916","3,061","4,771",8.6,6.7,10.5,,,,,,,,,,,,,,,,,,
18,101,IN,Martin County,"1,119",868,"1,370",11.6,9,14.2,,,,,,,,,,,,,,,,,,
18,103,IN,Miami County,"4,841","3,956","5,726",14.9,12.2,17.6,,,,,,,,,,,,,,,,,,
18,105,IN,Monroe County,"26,549","24,375","28,723",21.1,19.4,22.8,,,,,,,,,,,,,,,,,,
18,107,IN,Montgomery County,"4,326","3,581","5,071",11.7,9.7,13.7,,,,,,,,,,,,,,,,,,
18,109,IN,Morgan County,"7,344","6,114","8,574",10.3,8.6,12,,,,,,,,,,,,,,,,,,
18,111,IN,Newton County,"1,622","1,300","1,944",11.9,9.5,14.3,,,,,,,,,,,,,,,,,,
18,113,IN,Noble County,"4,226","3,321","5,131",9.1,7.1,11.1,,,,,,,,,,,,,,,,,,
18,115,IN,Ohio County,539,415,663,9.1,7,11.2,,,,,,,,,,,,,,,,,,
18,117,IN,Orange County,"2,807","2,185","3,429",14.4,11.2,17.6,,,,,,,,,,,,,,,,,,
18,119,IN,Owen County,"2,395","1,835","2,955",11.3,8.7,13.9,,,,,,,,,,,,,,,,,,
18,121,IN,Parke County,"2,375","1,900","2,850",16,12.8,19.2,,,,,,,,,,,,,,,,,,
18,123,IN,Perry County,"2,271","1,789","2,753",12.8,10.1,15.5,,,,,,,,,,,,,,,,,,
18,125,IN,Pike County,"1,349","1,091","1,607",11.3,9.1,13.5,,,,,,,,,,,,,,,,,,
18,127,IN,Porter County,"16,533","14,290","18,776",9.7,8.4,11,,,,,,,,,,,,,,,,,,
18,129,IN,Posey County,"2,268","1,762","2,774",9.1,7.1,11.1,,,,,,,,,,,,,,,,,,
18,131,IN,Pulaski County,"1,393","1,088","1,698",11.5,9,14,,,,,,,,,,,,,,,,,,
18,133,IN,Putnam County,"3,858","3,097","4,619",12,9.6,14.4,,,,,,,,,,,,,,,,,,
18,135,IN,Randolph County,"3,371","2,775","3,967",14,11.5,16.5,,,,,,,,,,,,,,,,,,
18,137,IN,Ripley County,"2,548","2,010","3,086",8.9,7,10.8,,,,,,,,,,,,,,,,,,
18,139,IN,Rush County,"1,806","1,411","2,201",11,8.6,13.4,,,,,,,,,,,,,,,,,,
18,141,IN,St. Joseph County,"37,269","33,173","41,365",14.3,12.7,15.9,,,,,,,,,,,,,,,,,,
18,143,IN,Scott County,"3,461","2,661","4,261",14.4,11.1,17.7,,,,,,,,,,,,,,,,,,
18,145,IN,Shelby County,"4,382","3,440","5,324",9.9,7.8,12,,,,,,,,,,,,,,,,,,
18,147,IN,Spencer County,"1,582","1,199","1,965",8.1,6.1,10.1,,,,,,,,,,,,,,,,,,
18,149,IN,Starke County,"3,292","2,619","3,965",14.2,11.3,17.1,,,,,,,,,,,,,,,,,,
18,151,IN,Steuben County,"3,237","2,563","3,911",9.7,7.7,11.7,,,,,,,,,,,,,,,,,,
18,153,IN,Sullivan County,"2,998","2,397","3,599",16.2,12.9,19.5,,,,,,,,,,,,,,,,,,
18,155,IN,Switzerland County,"1,345","1,033","1,657",13.9,10.7,17.1,,,,,,,,,,,,,,,,,,
18,157,IN,Tippecanoe County,"30,391","27,491","33,291",17.7,16,19.4,,,,,,,,,,,,,,,,,,
18,159,IN,Tipton County,"1,366","1,105","1,627",9,7.3,10.7,,,,,,,,,,,,,,,,,,
18,161,IN,Union County,778,598,958,11.2,8.6,13.8,,,,,,,,,,,,,,,,,,
18,163,IN,Vanderburgh County,"24,050","21,114","26,986",13.9,12.2,15.6,,,,,,,,,,,,,,,,,,
18,165,IN,Vermillion County,"1,873","1,485","2,261",12.4,9.8,15,,,,,,,,,,,,,,,,,,
18,167,IN,Vigo County,"19,709","17,507","21,911",20.4,18.1,22.7,,,,,,,,,,,,,,,,,,
18,169,IN,Wabash County,"3,253","2,581","3,925",11.2,8.9,13.5,,,,,,,,,,,,,,,,,,
18,171,IN,Warren County,743,578,908,8.9,6.9,10.9,,,,,,,,,,,,,,,,,,
18,173,IN,Warrick County,"4,311","3,385","5,237",6.8,5.3,8.3,,,,,,,,,,,,,,,,,,
18,175,IN,Washington County,"3,131","2,396","3,866",11.3,8.6,14,,,,,,,,,,,,,,,,,,
18,177,IN,Wayne County,"10,163","8,461","11,865",15.9,13.2,18.6,,,,,,,,,,,,,,,,,,
18,179,IN,Wells County,"2,108","1,626","2,590",7.6,5.9,9.3,,,,,,,,,,,,,,,,,,
18,181,IN,White County,"2,426","1,926","2,926",10,7.9,12.1,,,,,,,,,,,,,,,,,,
18,183,IN,Whitley County,"2,494","1,957","3,031",7.3,5.7,8.9,,,,,,,,,,,,,,,,,,
19,0,IA,Iowa,"340,626","329,373","351,879",11,10.6,11.4,,,,,,,,,,,,,,,,,,
19,1,IA,Adair County,749,578,920,10.2,7.9,12.5,,,,,,,,,,,,,,,,,,
19,3,IA,Adams County,383,293,473,10.6,8.1,13.1,,,,,,,,,,,,,,,,,,
19,5,IA,Allamakee County,"1,349","1,024","1,674",9.9,7.5,12.3,,,,,,,,,,,,,,,,,,
19,7,IA,Appanoose County,"2,069","1,669","2,469",17,13.7,20.3,,,,,,,,,,,,,,,,,,
19,9,IA,Audubon County,564,438,690,10.2,7.9,12.5,,,,,,,,,,,,,,,,,,
19,11,IA,Benton County,"2,128","1,726","2,530",8.4,6.8,10,,,,,,,,,,,,,,,,,,
19,13,IA,Black Hawk County,"17,005","14,711","19,299",13.5,11.7,15.3,,,,,,,,,,,,,,,,,,
19,15,IA,Boone County,"2,038","1,565","2,511",7.8,6,9.6,,,,,,,,,,,,,,,,,,
19,17,IA,Bremer County,"1,681","1,332","2,030",7.1,5.6,8.6,,,,,,,,,,,,,,,,,,
19,19,IA,Buchanan County,"2,011","1,606","2,416",9.8,7.8,11.8,,,,,,,,,,,,,,,,,,
19,21,IA,Buena Vista County,"2,149","1,677","2,621",10.8,8.4,13.2,,,,,,,,,,,,,,,,,,
19,23,IA,Butler County,"1,238",988,"1,488",8.8,7,10.6,,,,,,,,,,,,,,,,,,
19,25,IA,Calhoun County,"1,117",895,"1,339",12.1,9.7,14.5,,,,,,,,,,,,,,,,,,
19,27,IA,Carroll County,"1,889","1,551","2,227",9.3,7.6,11,,,,,,,,,,,,,,,,,,
19,29,IA,Cass County,"1,847","1,520","2,174",14.4,11.8,17,,,,,,,,,,,,,,,,,,
19,31,IA,Cedar County,"1,323","1,037","1,609",7.3,5.7,8.9,,,,,,,,,,,,,,,,,,
19,33,IA,Cerro Gordo County,"4,895","3,993","5,797",11.7,9.5,13.9,,,,,,,,,,,,,,,,,,
19,35,IA,Cherokee County,"1,134",899,"1,369",10.2,8.1,12.3,,,,,,,,,,,,,,,,,,
19,37,IA,Chickasaw County,"1,005",787,"1,223",8.5,6.7,10.3,,,,,,,,,,,,,,,,,,
19,39,IA,Clarke County,923,694,"1,152",9.6,7.2,12,,,,,,,,,,,,,,,,,,
19,41,IA,Clay County,"1,521","1,163","1,879",9.4,7.2,11.6,,,,,,,,,,,,,,,,,,
19,43,IA,Clayton County,"1,678","1,362","1,994",10,8.1,11.9,,,,,,,,,,,,,,,,,,
19,45,IA,Clinton County,"5,261","4,164","6,358",11.5,9.1,13.9,,,,,,,,,,,,,,,,,,
19,47,IA,Crawford County,"1,817","1,449","2,185",11.4,9.1,13.7,,,,,,,,,,,,,,,,,,
19,49,IA,Dallas County,"5,499","4,607","6,391",5.3,4.4,6.2,,,,,,,,,,,,,,,,,,
19,51,IA,Davis County,916,688,"1,144",10.1,7.6,12.6,,,,,,,,,,,,,,,,,,
19,53,IA,Decatur County,"1,165",889,"1,441",16.5,12.6,20.4,,,,,,,,,,,,,,,,,,
19,55,IA,Delaware County,"1,582","1,248","1,916",9.1,7.2,11,,,,,,,,,,,,,,,,,,
